Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3d0WouFnFmr0K3kjeza3fF,"Hips Don't Lie (feat. Wyclef Jean)","Oral Fixation, Vol. 2 (Expanded Edition)","Shakira;Wyclef Jean",2005-11-28,220360,89,false,kootlefoosh,2025-08-25T04:50:16Z,"latin pop","Epic",0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.358,0.758,100.024,4
spotify:track:2X8j1vYJaJZ1vIRp7csg2y,"S.W.A.K.","World Class","luxury elite",2015-07-21,234004,48,false,kootlefoosh,2025-08-31T20:37:28Z,"vaporwave,synthwave,chillwave,plunderphonics","Crash Symbols",0.727,0.484,7,-12.892,1,0.108,0.327,0.33,0.307,0.389,82.962,4
spotify:track:1YrnDTqvcnUKxAIeXyaEmU,"How Soon Is Now? - 2011 Remaster","Hatful of Hollow","The Smiths",1984,408173,75,false,kootlefoosh,2025-08-30T03:53:35Z,"new wave,madchester,jangle pop","WM UK",0.398,0.93,11,-6.76,1,0.0615,0.000854,0.121,0.0874,0.725,190.818,4
spotify:track:5s3cVm9Tu61Mbr62t6ymCI,"Putty Boy Strut","Until The Quiet Comes","Flying Lotus",2012-10-01,173687,31,false,kootlefoosh,2025-08-30T04:01:48Z,"idm,experimental hip hop,nu jazz,glitch","Warp Records",0.723,0.432,1,-7.891,1,0.418,0.107,0.21,0.0882,0.724,163.973,4
spotify:track:1Hv1VTm8zeOeybub15mA2R,"Smooth Operator - Single Version","The Best of Sade","Sade",1994-10-31,258693,84,false,kootlefoosh,2025-08-30T04:26:00Z,"","Epic",0.734,0.58,9,-6.619,0,0.0321,0.238,0.0006,0.0298,0.962,119.336,4
spotify:track:4wSmqFg31t6LsQWtzYAJob,"Genesis","Justice","Justice",2007-06-11,234960,64,false,kootlefoosh,2025-08-30T04:27:56Z,"french house,new rave","Ed Banger Records",0.693,0.789,9,-5.13,1,0.384,0.0168,0.366,0.0985,0.283,117.055,4
spotify:track:7LG6dQGMIDFKV1SazzWGjK,"Let There Be Light","Justice","Justice",2007-06-11,295946,48,false,kootlefoosh,2025-08-30T04:29:15Z,"french house,new rave","Ed Banger Records",0.612,0.889,8,-3.28,1,0.0545,0.00012,0.0275,0.185,0.0452,122.991,4
spotify:track:5NQYyej46WQkgCbnzGD21W,"Dear Prudence - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,235773,61,false,kootlefoosh,2025-09-03T18:52:29Z,"classic rock,psychedelic rock","EMI Catalogue",0.388,0.529,7,-10.533,1,0.0436,0.16,0.0681,0.108,0.332,150.721,4
spotify:track:3E7ZwUMJFqpsDOJzEkBrQ7,"Can't Get You out of My Head","Fever","Kylie Minogue",2002-11-19,230640,81,false,kootlefoosh,2025-09-08T05:49:01Z,"dance pop","Parlophone UK",0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,4
spotify:track:2A6YNzhnvSgaqkJzDjtVyf,"Sixtyten","Music Has The Right To Children","Boards of Canada",1998-04-20,348346,46,false,kootlefoosh,2025-09-11T00:34:11Z,"idm,ambient,trip hop,downtempo,electronic","Warp Records",0.754,0.725,6,-14.688,1,0.0636,0.0204,0.805,0.104,0.657,109.579,4
spotify:track:1FRF0NHXBW4ecdulGkTzJY,"Blow My High (Members Only)","Section.80","Kendrick Lamar",2011-07-02,215791,62,true,kootlefoosh,2025-09-24T01:17:18Z,"hip hop,west coast hip hop","Top Dawg Entertainment / Section.80",0.959,0.524,9,-8.145,0,0.274,0.316,0,0.274,0.84,119.933,4
spotify:track:2eDdFHgqNJltzlvlZFVDWd,"Over the Hills and Far Away - Remaster","Houses of the Holy (Remaster)","Led Zeppelin",1973-03-28,290933,70,false,kootlefoosh,2025-09-27T22:42:23Z,"classic rock,rock,hard rock,rock and roll","Atlantic Records",0.402,0.691,7,-10.274,1,0.0691,0.0679,0.133,0.0955,0.206,96.95,4
spotify:track:3KPwt1LBpt1jVSHz8GXERo,"Feel like Makin' Love - 2015 Remaster","Straight Shooter","Bad Company",1975,313840,68,false,kootlefoosh,2025-10-01T20:36:16Z,"classic rock,aor,southern rock,hard rock","Rhino Atlantic",0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126,4
spotify:track:3JA9Jsuxr4xgHXEawAdCp4,"Just Can’t Get Enough","The Beginning","Black Eyed Peas",2010-01-01,219426,84,false,kootlefoosh,2025-10-03T16:47:36Z,"","A&M",0.659,0.629,0,-8.685,0,0.18,0.19,0,0.105,0.262,94.049,4
spotify:track:2Di0qFNb7ATroCGB3q0Ka7,"West End Girls - 2018 Remaster","Please: Further Listening 1984 - 1986 (2018 Remaster)","Pet Shop Boys",1986-03-24,285906,78,false,kootlefoosh,2025-10-07T01:13:26Z,"synthpop,new wave","Rhino",0.656,0.914,4,-7.471,0,0.0394,0.000943,0.0628,0.159,0.576,113.259,4
spotify:track:0Lmbke3KNVFXtoH2mMSHCw,"the boy is mine","eternal sunshine","Ariana Grande",2024-03-08,173639,79,true,kootlefoosh,2025-10-07T18:47:06Z,"pop","Republic Records",0.795,0.63,7,-5.854,0,0.0434,0.157,0,0.0732,0.447,97.998,4
spotify:track:7G7tgVYORlDuVprcYHuFJh,"Don't Dream It's Over","Crowded House","Crowded House",1986-01-01,236933,84,false,kootlefoosh,2025-10-13T03:38:42Z,"","Capitol Records",0.439,0.421,8,-17.227,1,0.0411,0.0148,0.0000488,0.0697,0.551,81.833,4
spotify:track:2hitsKa8SthKhRJBXUHbIv,"Our House","Deja Vu","Crosby, Stills, Nash & Young",1970-03-11,179760,72,false,kootlefoosh,2025-10-13T05:10:05Z,"folk rock,classic rock","Rhino Atlantic",0.592,0.205,9,-14.601,1,0.048,0.896,0.0000546,0.119,0.378,140.282,4
spotify:track:09QyZK3ODk6dZ5uYqmUBX6,"Highway Star - 2024 Remaster","Machine Head (Super Deluxe)","Deep Purple",2024-03-29,367433,24,false,kootlefoosh,2025-10-18T23:29:20Z,"hard rock,classic rock,rock","Rhino/Warner Records",0.274,0.901,7,-7.899,1,0.0631,0.0179,0.000866,0.126,0.421,173.547,4
spotify:track:6GB4HmfcDsw0DUsluTqWi9,"Cooking","Contemporary Movement","Duster",2000-08-22,275360,43,false,kootlefoosh,2025-10-19T18:11:49Z,"slowcore,shoegaze","Numero Group",0.488,0.845,9,-7.623,1,0.0278,0.367,0.945,0.117,0.485,96.695,4
spotify:track:1G6E8yhilqdeZuduRrob1S,"Melon Yellow","Souvlaki","Slowdive",1993,232946,45,false,kootlefoosh,2025-11-03T18:34:16Z,"shoegaze,dream pop,slowcore","Creation Records",0.395,0.33,6,-13.399,0,0.0301,0.437,0.675,0.0581,0.303,128.434,4
spotify:track:3c7CEnNLplZu4C11H6xBkl,"Disengaged","Dragging a Dead Deer Up a Hill","Grouper",2008,256825,41,false,kootlefoosh,2025-11-03T18:40:09Z,"drone,ambient,slowcore,dream pop","Yellowelectric",0.16,0.508,2,-19.227,1,0.0913,0.973,0.939,0.108,0.148,78.694,4
spotify:track:6YLitml3erCr0kpKiKjxJj,"Zap!","Wildflower","The Avalanches",2016-07-08,118706,29,false,kootlefoosh,2025-11-11T19:36:53Z,"plunderphonics","Universal Music Australia Pty. Ltd.",0.214,0.359,5,-15.555,1,0.0367,0.759,0.000587,0.598,0.289,86.597,4
spotify:track:5F7lkoriDmKyFQEjv3yzBg,"Lifeworld","tra","Oneohtrix Point Never",2025-10-20,227973,29,false,kootlefoosh,2025-11-11T19:37:16Z,"plunderphonics,idm,drone,ambient,experimental,vaporwave","Warp Records",0.225,0.797,1,-9.099,1,0.0735,0.346,0.204,0.314,0.0898,104.366,4
spotify:track:7rU6Iebxzlvqy5t857bKFq,"Plastic Love","Expressions","Mariya Takeuchi",2008-05-21,294493,67,false,kootlefoosh,2025-11-15T20:00:51Z,"city pop,kayōkyoku,j-pop","WM Japan",0.648,0.875,2,-5.141,0,0.034,0.0747,0.0000964,0.196,0.857,102.517,4
spotify:track:4CoSCPlKNrWli7E5kFtbcl,"Little Lies - 2017 Remaster","Tango In the Night (Deluxe Edition)","Fleetwood Mac",1987-04-13,221053,81,false,kootlefoosh,2025-12-05T00:13:22Z,"yacht rock,classic rock,soft rock","Rhino/Warner Records",0.64,0.649,2,-10.345,1,0.0264,0.216,0.000083,0.0551,0.865,124.825,4
spotify:track:1AgnRnoNdjfsqTZ9bTt89R,"Microphone Mathematics","The Unseen","Quasimoto",2004-12-01,194746,40,true,kootlefoosh,2025-12-09T22:36:21Z,"experimental hip hop,alternative hip hop,jazz rap,underground hip hop","Stones Throw Records",0.644,0.687,1,-10.649,1,0.537,0.0329,0.0000806,0.151,0.616,176.947,4
spotify:track:3H3cOQ6LBLSvmcaV7QkZEu,"Aerodynamic","Discovery","Daft Punk",2001-03-12,212546,67,false,kootlefoosh,2025-12-27T08:52:50Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.624,0.911,7,-7.482,1,0.0524,0.329,0.861,0.0727,0.135,122.902,4
spotify:track:55gnBQAhU5rGzLsXTAx2MM,"Archangel","Untrue","Burial",2007,238426,50,false,kootlefoosh,2026-01-04T02:05:02Z,"idm,ambient","Hyperdub",0.622,0.852,1,-10.184,1,0.153,0.431,0.663,0.114,0.513,135.207,4
spotify:track:7j3758mGOPLkd7UQsmbWYg,"Ayonha","The SLAM! Years: 1983 - 1988 (Habibi Funk 018)","Hamid Al Shaeri",2022-02-25,219624,58,false,kootlefoosh,2026-01-04T02:04:10Z,"egyptian pop","HABIBI Funk Records",0.686,0.672,9,-8.655,1,0.0291,0.452,0.000697,0.12,0.682,122.912,4
spotify:track:6iX1f3r7oUJnMbGgQ2gx1j,"867-5309 / Jenny","Tommy Tutone - 2","Tommy Tutone",1981-12-04,226200,66,false,kootlefoosh,2026-01-16T08:55:59Z,"","Columbia",0.584,0.708,5,-10.039,1,0.0593,0.0264,0.00364,0.112,0.564,137.657,4
spotify:track:0pUVeEgZuNyFzIMKp67RbS,"Eyes Without A Face","Rebel Yell","Billy Idol",1983-11-01,299240,86,false,kootlefoosh,2026-01-30T05:22:19Z,"","CAPITOL CATALOG MKT (C92)",0.54,0.816,9,-6.197,1,0.0421,0.0177,0.00226,0.276,0.658,85.563,4
spotify:track:3ZE3wv8V3w2T2f7nOCjV0N,"Life on Mars? - 2015 Remaster","Hunky Dory (2015 Remaster)","David Bowie",1971-12-17,235986,73,false,kootlefoosh,2026-02-03T16:17:09Z,"glam rock,art rock","Parlophone UK",0.445,0.384,10,-14.642,1,0.0417,0.635,0.0000774,0.0539,0.216,123.295,4
spotify:track:5zH710lFSLtkHbMkslLDjR,"Crazy On You","Dreamboat Annie","Heart",1975,293440,71,false,kootlefoosh,2026-02-14T01:46:49Z,"classic rock,aor,rock","Capitol Records",0.435,0.459,9,-12.442,0,0.0329,0.117,0.000103,0.132,0.383,129.929,4
spotify:track:52S4b4JkoeKrCRRKjzPHKW,"Kitchen","Kitchen","Cal in Red;James Mercer",2024-07-22,165463,10,false,kootlefoosh,2026-02-17T22:15:52Z,"","B3SCI Records",0.675,0.605,7,-4.959,1,0.0258,0.118,0.0208,0.171,0.67,102.032,4
spotify:track:6glEHR7lNsKTqeZ94nx0EI,"Burn Slowly/ I Love You","Primitive Initiative","The Brazen Youth",2018-08-17,280861,34,false,kootlefoosh,2026-02-18T03:32:25Z,"","The Brazen Youth",0.397,0.366,0,-10.473,1,0.0417,0.782,0.016,0.236,0.154,105.1,4
